CMDLINE /home/nitish/env2/bin/python3 logp_benchmarks.py
MEM 1.542969 1582460970.4552
MEM 21.492188 1582460970.5555
MEM 32.820312 1582460970.6559
MEM 43.546875 1582460970.7562
MEM 58.160156 1582460970.8565
MEM 68.550781 1582460970.9568
MEM 94.867188 1582460971.0571
MEM 106.707031 1582460971.1573
MEM 111.210938 1582460971.2576
MEM 133.625000 1582460971.3579
MEM 160.378906 1582460971.4582
MEM 169.769531 1582460971.5584
MEM 201.371094 1582460971.6587
MEM 207.250000 1582460971.7590
MEM 213.738281 1582460971.8593
MEM 213.738281 1582460971.9596
MEM 214.000000 1582460972.0599
MEM 235.816406 1582460972.1602
MEM 245.375000 1582460972.2605
MEM 252.335938 1582460972.3608
MEM 252.335938 1582460972.4611
MEM 252.335938 1582460972.5614
MEM 252.335938 1582460972.6617
MEM 252.851562 1582460972.7621
MEM 253.742188 1582460972.8623
MEM 254.656250 1582460972.9627
MEM 254.656250 1582460973.0630
MEM 254.656250 1582460973.1633
MEM 254.656250 1582460973.2637
MEM 255.609375 1582460973.3640
MEM 258.914062 1582460973.4643
MEM 258.914062 1582460973.5647
MEM 258.914062 1582460973.6650
MEM 258.914062 1582460973.7653
MEM 261.585938 1582460973.8656
MEM 262.265625 1582460973.9659
MEM 266.402344 1582460974.0662
MEM 266.757812 1582460974.1664
MEM 267.378906 1582460974.2667
MEM 269.281250 1582460974.3670
MEM 270.601562 1582460974.4673
MEM 271.003906 1582460974.5677
MEM 271.003906 1582460974.6680
MEM 271.003906 1582460974.7684
MEM 271.003906 1582460974.8687
MEM 271.003906 1582460974.9690
MEM 271.960938 1582460975.0692
MEM 273.085938 1582460975.1695
MEM 274.277344 1582460975.2699
MEM 274.496094 1582460975.3701
MEM 274.496094 1582460975.4705
MEM 274.496094 1582460975.5709
MEM 274.496094 1582460975.6713
MEM 274.546875 1582460975.7716
MEM 275.472656 1582460975.8719
MEM 278.355469 1582460975.9722
MEM 280.074219 1582460976.0725
MEM 280.121094 1582460976.1728
MEM 280.121094 1582460976.2732
MEM 280.121094 1582460976.3735
MEM 280.121094 1582460976.4738
MEM 280.121094 1582460976.5742
MEM 280.121094 1582460976.6745
MEM 280.121094 1582460976.7748
MEM 280.121094 1582460976.8751
MEM 280.121094 1582460976.9755
MEM 280.121094 1582460977.0759
MEM 280.121094 1582460977.1762
MEM 280.121094 1582460977.2765
MEM 280.121094 1582460977.3768
MEM 280.121094 1582460977.4771
MEM 280.121094 1582460977.5775
MEM 280.121094 1582460977.6778
MEM 280.121094 1582460977.7781
MEM 280.121094 1582460977.8784
MEM 280.121094 1582460977.9788
MEM 280.121094 1582460978.0791
MEM 280.121094 1582460978.1796
MEM 280.121094 1582460978.2799
MEM 280.121094 1582460978.3802
MEM 280.121094 1582460978.4805
MEM 280.121094 1582460978.5808
MEM 280.121094 1582460978.6812
MEM 280.121094 1582460978.7815
MEM 280.121094 1582460978.8819
MEM 280.121094 1582460978.9823
MEM 280.121094 1582460979.0827
MEM 280.121094 1582460979.1830
MEM 280.121094 1582460979.2834
MEM 280.121094 1582460979.3838
MEM 280.121094 1582460979.4841
MEM 280.121094 1582460979.5845
MEM 280.121094 1582460979.6849
MEM 280.121094 1582460979.7852
MEM 280.121094 1582460979.8856
MEM 280.121094 1582460979.9860
MEM 280.121094 1582460980.0863
MEM 280.121094 1582460980.1866
MEM 280.121094 1582460980.2869
MEM 280.121094 1582460980.3873
MEM 280.121094 1582460980.4876
MEM 280.121094 1582460980.5879
MEM 280.121094 1582460980.6883
MEM 280.234375 1582460980.7886
MEM 280.234375 1582460980.8889
MEM 280.234375 1582460980.9893
MEM 280.234375 1582460981.0896
MEM 280.234375 1582460981.1899
MEM 280.234375 1582460981.2902
MEM 280.234375 1582460981.3906
MEM 280.234375 1582460981.4909
MEM 280.234375 1582460981.5912
MEM 280.234375 1582460981.6915
MEM 280.234375 1582460981.7919
MEM 280.234375 1582460981.8922
MEM 280.234375 1582460981.9925
MEM 280.234375 1582460982.0929
MEM 280.234375 1582460982.1932
MEM 280.234375 1582460982.2935
MEM 280.234375 1582460982.3939
MEM 280.234375 1582460982.4942
MEM 280.234375 1582460982.5945
MEM 280.234375 1582460982.6948
MEM 280.234375 1582460982.7952
MEM 280.234375 1582460982.8955
MEM 280.234375 1582460982.9959
MEM 280.234375 1582460983.0963
MEM 280.234375 1582460983.1966
MEM 280.234375 1582460983.2969
