CMDLINE /home/nitish/env2/bin/python3 logp_benchmarks.py
MEM 1.464844 1582455225.3964
MEM 21.031250 1582455225.4968
MEM 32.566406 1582455225.5971
MEM 43.644531 1582455225.6974
MEM 55.363281 1582455225.7977
MEM 67.988281 1582455225.8980
MEM 91.875000 1582455225.9983
MEM 105.621094 1582455226.0986
MEM 109.855469 1582455226.1989
MEM 133.308594 1582455226.2992
MEM 158.753906 1582455226.3998
MEM 166.644531 1582455226.5001
MEM 197.515625 1582455226.6004
MEM 203.425781 1582455226.7007
MEM 210.699219 1582455226.8010
MEM 213.617188 1582455226.9013
MEM 213.617188 1582455227.0017
MEM 213.617188 1582455227.1020
MEM 232.718750 1582455227.2023
MEM 244.957031 1582455227.3026
MEM 250.785156 1582455227.4029
MEM 250.785156 1582455227.5033
MEM 250.785156 1582455227.6036
MEM 250.785156 1582455227.7041
MEM 251.011719 1582455227.8044
MEM 251.820312 1582455227.9047
MEM 252.976562 1582455228.0050
MEM 252.976562 1582455228.1053
MEM 252.976562 1582455228.2057
MEM 252.976562 1582455228.3060
MEM 252.976562 1582455228.4063
MEM 256.730469 1582455228.5066
MEM 257.222656 1582455228.6069
MEM 257.222656 1582455228.7072
MEM 257.222656 1582455228.8076
MEM 257.222656 1582455228.9081
MEM 260.230469 1582455229.0084
MEM 262.179688 1582455229.1087
MEM 265.140625 1582455229.2090
MEM 265.343750 1582455229.3093
MEM 266.003906 1582455229.4096
MEM 267.707031 1582455229.5099
MEM 269.328125 1582455229.6102
MEM 269.511719 1582455229.7105
MEM 269.511719 1582455229.8108
MEM 269.511719 1582455229.9111
MEM 269.511719 1582455230.0114
MEM 269.511719 1582455230.1118
MEM 270.410156 1582455230.2121
MEM 271.199219 1582455230.3124
MEM 273.167969 1582455230.4127
MEM 273.945312 1582455230.5131
MEM 273.945312 1582455230.6134
MEM 273.945312 1582455230.7137
MEM 273.945312 1582455230.8140
MEM 273.960938 1582455230.9143
MEM 274.066406 1582455231.0146
MEM 274.199219 1582455231.1149
MEM 274.199219 1582455231.2153
MEM 274.199219 1582455231.3157
MEM 274.199219 1582455231.4160
MEM 274.199219 1582455231.5163
MEM 274.199219 1582455231.6166
MEM 274.199219 1582455231.7170
MEM 274.199219 1582455231.8173
MEM 274.199219 1582455231.9177
MEM 274.199219 1582455232.0180
MEM 274.199219 1582455232.1183
MEM 274.199219 1582455232.2186
MEM 274.199219 1582455232.3189
MEM 274.199219 1582455232.4193
MEM 274.199219 1582455232.5197
