CMDLINE /home/nitish/env2/bin/python3 logp_benchmarks.py
MEM 1.460938 1582454952.3246
MEM 20.632812 1582454952.4249
MEM 30.625000 1582454952.5252
MEM 42.683594 1582454952.6256
MEM 53.253906 1582454952.7260
MEM 66.992188 1582454952.8262
MEM 88.929688 1582454952.9265
MEM 103.433594 1582454953.0268
MEM 109.457031 1582454953.1271
MEM 130.375000 1582454953.2275
MEM 137.183594 1582454953.3277
MEM 166.652344 1582454953.4281
MEM 195.960938 1582454953.5283
MEM 203.531250 1582454953.6286
MEM 210.746094 1582454953.7290
MEM 213.656250 1582454953.8293
MEM 213.656250 1582454953.9303
MEM 219.031250 1582454954.0306
MEM 238.968750 1582454954.1309
MEM 246.695312 1582454954.2311
MEM 250.222656 1582454954.3315
MEM 250.222656 1582454954.4318
MEM 250.222656 1582454954.5322
MEM 250.222656 1582454954.6325
MEM 250.593750 1582454954.7328
MEM 251.472656 1582454954.8331
MEM 252.445312 1582454954.9335
MEM 252.445312 1582454955.0339
MEM 252.445312 1582454955.1343
MEM 252.445312 1582454955.2346
MEM 252.445312 1582454955.3350
MEM 256.679688 1582454955.4353
MEM 256.679688 1582454955.5357
MEM 256.679688 1582454955.6360
MEM 256.679688 1582454955.7364
MEM 256.714844 1582454955.8367
MEM 259.671875 1582454955.9370
MEM 262.847656 1582454956.0373
MEM 264.304688 1582454956.1375
MEM 264.761719 1582454956.2378
MEM 265.433594 1582454956.3381
MEM 267.074219 1582454956.4384
MEM 268.542969 1582454956.5387
MEM 268.679688 1582454956.6390
MEM 268.679688 1582454956.7393
MEM 268.679688 1582454956.8396
MEM 268.679688 1582454956.9399
MEM 268.699219 1582454957.0402
MEM 269.964844 1582454957.1405
MEM 270.757812 1582454957.2408
MEM 273.335938 1582454957.3411
MEM 273.457031 1582454957.4415
MEM 273.457031 1582454957.5418
MEM 273.457031 1582454957.6421
MEM 273.457031 1582454957.7424
MEM 273.511719 1582454957.8427
MEM 273.582031 1582454957.9430
MEM 273.632812 1582454958.0434
MEM 273.632812 1582454958.1437
MEM 273.632812 1582454958.2440
MEM 273.632812 1582454958.3443
MEM 273.632812 1582454958.4447
MEM 273.632812 1582454958.5450
MEM 273.632812 1582454958.6453
MEM 273.632812 1582454958.7456
MEM 273.632812 1582454958.8460
MEM 273.632812 1582454958.9463
MEM 273.632812 1582454959.0467
MEM 273.632812 1582454959.1470
MEM 273.632812 1582454959.2473
MEM 273.632812 1582454959.3476
MEM 273.632812 1582454959.4480
MEM 273.632812 1582454959.5483
MEM 273.632812 1582454959.6486
MEM 273.632812 1582454959.7490
MEM 273.632812 1582454959.8493
MEM 273.632812 1582454959.9496
MEM 273.632812 1582454960.0502
MEM 273.632812 1582454960.1505
MEM 273.632812 1582454960.2508
MEM 273.632812 1582454960.3512
MEM 273.632812 1582454960.4515
MEM 273.632812 1582454960.5519
MEM 273.632812 1582454960.6522
MEM 273.632812 1582454960.7525
MEM 273.632812 1582454960.8529
MEM 273.632812 1582454960.9532
MEM 273.632812 1582454961.0535
MEM 273.632812 1582454961.1539
MEM 273.632812 1582454961.2542
MEM 273.632812 1582454961.3546
MEM 273.632812 1582454961.4549
MEM 273.632812 1582454961.5552
MEM 273.632812 1582454961.6556
MEM 273.632812 1582454961.7560
MEM 273.632812 1582454961.8563
MEM 273.632812 1582454961.9566
MEM 273.632812 1582454962.0570
MEM 273.632812 1582454962.1573
MEM 273.632812 1582454962.2576
MEM 273.632812 1582454962.3581
MEM 273.632812 1582454962.4584
MEM 273.632812 1582454962.5588
MEM 273.632812 1582454962.6592
MEM 273.632812 1582454962.7596
MEM 273.632812 1582454962.8599
MEM 273.632812 1582454962.9602
