CMDLINE /home/nitish/env2/bin/python3 logp_benchmarks.py
MEM 1.464844 1582453250.8426
MEM 21.546875 1582453250.9429
MEM 33.390625 1582453251.0432
MEM 44.214844 1582453251.1436
MEM 54.851562 1582453251.2438
MEM 67.292969 1582453251.3441
MEM 73.808594 1582453251.4445
MEM 95.253906 1582453251.5448
MEM 105.546875 1582453251.6451
MEM 108.687500 1582453251.7455
MEM 109.578125 1582453251.8458
MEM 132.417969 1582453251.9461
MEM 157.691406 1582453252.0464
MEM 166.035156 1582453252.1467
MEM 191.984375 1582453252.2470
MEM 199.855469 1582453252.3473
MEM 202.636719 1582453252.4479
MEM 209.304688 1582453252.5483
MEM 212.218750 1582453252.6486
MEM 212.218750 1582453252.7489
MEM 216.859375 1582453252.8492
MEM 235.152344 1582453252.9494
MEM 243.101562 1582453253.0498
MEM 246.621094 1582453253.1501
MEM 246.621094 1582453253.2504
MEM 246.621094 1582453253.3507
MEM 246.621094 1582453253.4510
MEM 246.906250 1582453253.5513
MEM 247.746094 1582453253.6517
MEM 248.828125 1582453253.7520
MEM 248.828125 1582453253.8523
MEM 248.828125 1582453253.9526
MEM 248.828125 1582453254.0529
MEM 248.828125 1582453254.1533
MEM 252.992188 1582453254.2536
MEM 253.109375 1582453254.3539
MEM 253.109375 1582453254.4542
MEM 253.109375 1582453254.5545
MEM 253.136719 1582453254.6548
MEM 256.187500 1582453254.7551
MEM 258.839844 1582453254.8553
MEM 260.824219 1582453254.9556
MEM 261.324219 1582453255.0559
MEM 262.039062 1582453255.1562
MEM 263.664062 1582453255.2564
MEM 265.218750 1582453255.3567
MEM 265.347656 1582453255.4570
MEM 265.347656 1582453255.5574
MEM 265.347656 1582453255.6577
MEM 265.347656 1582453255.7580
MEM 265.429688 1582453255.8583
MEM 266.984375 1582453255.9588
MEM 267.167969 1582453256.0591
MEM 269.871094 1582453256.1593
MEM 269.871094 1582453256.2596
MEM 269.871094 1582453256.3599
MEM 269.871094 1582453256.4602
MEM 270.265625 1582453256.5605
MEM 270.476562 1582453256.6608
MEM 270.476562 1582453256.7611
MEM 270.476562 1582453256.8614
MEM 270.476562 1582453256.9617
MEM 270.476562 1582453257.0620
MEM 270.476562 1582453257.1623
MEM 270.476562 1582453257.2626
MEM 270.476562 1582453257.3629
MEM 270.476562 1582453257.4632
MEM 270.476562 1582453257.5635
MEM 270.476562 1582453257.6638
MEM 270.476562 1582453257.7641
MEM 270.476562 1582453257.8644
MEM 270.476562 1582453257.9647
MEM 270.476562 1582453258.0650
MEM 270.476562 1582453258.1652
MEM 270.476562 1582453258.2655
MEM 270.476562 1582453258.3658
MEM 270.476562 1582453258.4661
MEM 270.476562 1582453258.5664
MEM 270.476562 1582453258.6667
MEM 270.476562 1582453258.7670
MEM 270.476562 1582453258.8674
